ShortName,startByte,endByte,Type,Recommended,Description,Comment,Details
wevel,91,92,int16,,Weathering velocity,,
swevel,93,94,int16,,Subweathering velocity,,
sut,95,96,int16,,Uphole time at source,,
gut,97,98,int16,,Uphole time at group,,
sstat,99,100,int16,,Source static correction,,
gstat,101,102,int16,,Group static correction,,
tstat,103,104,int16,,Total static applied,Zero if no static has been applied,
laga,105,106,int16,,Lag time A,"Time in ms. between end of 240 byte trace identification header and time break. Positive if time break occurs after end of header, negative if time break occurs before end of header. Time break is defined as the initiation pulse which may be recorded on an auxiliary trace or as otherwise specified by the recording system",
lagb,107,108,int16,,Lag Time B,Time in ms. between time break and the initiation time of the energy source. May be positive or negative,
delrt,109,110,int16,,Delay recording time,Time in ms. between initiation time of energy source and time when recording of data samples begins. (for deep water work if data recording does not start at zero time.),
muts,111,112,int16,,Mute time start,,
mute,113,114,int16,,Mute time end,,
ns,115,116,uint16,*,Number of samples in this trace.,,
dt,117,118,uint16,*,Sample interval in microseconds for this trace,,
gain,119,120,int16,,Gain type of field instruments,,"1=fixed,2=binary,3=floating point,N=optional use"
igc,121,122,int16,,Instrument gain constant.,,
igi,123,124,int16,,Instrument early or initial gain in decibels,,
corr,125,126,int16,,Correlated,,"1=no,2=yes"
sfs,127,128,int16,,Sweep frequency at start,,
sfe,129,130,int16,,Sweep frequency at end,,
slen,131,132,int16,,Sweep length in milliseconds,,
styp,133,134,int16,,Sweep type,,"1=linear,2=parabolic,3=exponential,4=other"
stas,135,136,int16,,Sweep trace taper length at start in milliseconds,,
stae,137,138,int16,,Sweep trace taper length at end in milliseconds,,
tatype,139,140,int16,,Taper type,,"1=linear,2=cos2,3=other"
afilf,141,142,int16,,Alias filter frequency,if used,
afils,143,144,int16,,Alias filter slope,,
nofilf,145,146,int16,,Notch filter frequency,if used,
nofils,147,148,int16,,Notch filter slope,,
lcf,149,150,int16,,Low cut frequency,if used,
hcf,151,152,int16,,High cut frequency,if used,
lcs,153,154,int16,,Low cut slope,,
hcs,155,156,int16,,High cut slope,,
year,157,158,int16,,Year data recorded,,
day,159,160,int16,,Day of year,,
hour,161,162,int16,,Hour of day,24 hour clock,
minute,163,164,int16,,Minute of hour,,
sec,165,166,int16,,Second of minute,,
timbas,167,168,int16,,Time basis code,,"1=local,2=GMT,3=other"
trwf,169,170,int16,,Trace weighting factor,"defined as 2^N volts for the least significant bit. (N = 0, 1,  .... 32, 767)",
grnors,171,172,int16,,Geophone group number of roll switch position one,,
grnofr,173,174,int16,,Geophone group number of trace number one within original field record ,,
grnlof,175,176,int16,,Geophone group number of last trace within original field record,,
gaps,177,178,int16,,Gap size, total number of groups dropped,
otrav,179,180,int16,,Overtravel associated with taper at beginning or end of line,,"1=down (or behind),2=up (or ahead)."
unss1,181,184,int32,,Unassigned,,
unss2,185,188,int32,,Unassigned,,
unss3,189,192,int32,,Unassigned,,
unss4,193,196,int32,,Unassigned,,
unss5,197,200,int32,,Unassigned,,
unss6,201,204,int32,,Unassigned,,
unss7,205,208,int32,,Unassigned,,
unss8,209,212,int32,,Unassigned,,
unss9,213,216,int32,,Unassigned,,
unss10,217,220,int32,,Unassigned,,
unss11,221,224,int32,,Unassigned,,
unss12,225,228,int32,,Unassigned,,
unss13,229,232,int32,,Unassigned,,
unss14,233,236,int32,,Unassigned,,
unss15,237,240,int32,,Unassigned,,
