Name,startByte,endByte,Type,Recommended,Description,Comment,Details
scalsp,201,202,int16,,"Scalar to be applied to the shotpoint number in Trace Header bytes 197-200 to give the real value.  If positive, scalar is used as a multiplier; if negative as a divisor; if zero the shotpoint number is not scaled (i.e. it is an integer.  A typical value will be -10, allowing shotpoint numbers with one decimal digit to the right of the decimal point).",,
tval,203,204,int16,,Trace value measurement unit,,"-1 = Other (should be described in Data Sample Measurement Units Stanza) , 0 = Unknown,  1 = Pascal (Pa),  2 = Volts (V),  3 = Millivolts (mV),  4 = Amperes (A), 5 = Meters (m) ,6 = Meters per second (m/s) ,7 = Meters per second squared (m/s2) ,8 = Newton"
tconstm,205,208,int32,,Transduction Constant mantissa,"The multiplicative constant used to convert the Data Trace samples to the Transduction Units (specified in Trace Header bytes 211-212).  The constant is encoded as a four-byte, two's complement integer (bytes 205-208) which is the mantissa and a two-byte, two's complement integer (bytes 209-210) which is the power of ten exponent (i.e. Bytes 205-208 * 10**Bytes 209-210)",
tconste,209,210,int16,,Transduction Constant exponent,,
tunit,211,212,int16,,Transduction Units,The unit of measurement of the Data Trace samples after they have been multiplied by the Transduction Constant specified in Trace Header bytes 205-210,"-1 = Other (should be described in Data Sample Measurement Unit stanza),0 = Unknown ,1 = Pascal (Pa) ,2 = Volts (V) ,3 = Millivolts (mV) ,4 = Amperes (A) ,5 = Meters (m) ,6 = Meters per second (m/s) ,7 = Meters per second squared (m/s2), 8 = Newton (N) ,9"
devtr,213,214,int16,,Device/Trace Identifier,The unit number or id number of the device associated with the Data Trace (i.e. 4368 for vibrator serial number 4368 or 20316 for gun 16 on string 3 on vessel 2).  This field allows traces to be associated across trace ensembles independently of the trace number (Trace Header bytes 25-28),
scalt,215,216,int16,,Scalar to be applied to times,"Apply to values stored in Trace Header bytes 95-114 to give the true time value in milliseconds.  Scalar = 1, +10, +100, +1000, or +10,000.  If positive, scalar is used as a multiplier; if negative, scalar is used as divisor.  A value of zero is assumed to be a scalar value of 1.",
stypeo,217,218,int16,,Source Type/Orientation,"Defines the type and the orientation of the energy source.  The terms vertical, cross-line and in-line refer to the three axes of an orthogonal coordinate system.  The absolute azimuthal orientation of the coordinate system axes can be defined in the Bin Grid Definition Stanza",
sedm,219,222,int32,,Source Energy Direction with respect to the source orientation mantissa?,The positive orientation direction is defined in Bytes 217-218 of the Trace Header.  The energy direction is encoded in tenths of degrees (i.e. 347.8º is encoded as 3478),
sede,223,224,int16,,Source Energy Direction with respect to the source orientation exponent?,The positive orientation direction is defined in Bytes 217-218 of the Trace Header.  The energy direction is encoded in tenths of degrees (i.e. 347.8 degrees is encoded as 3478),
smmtm,225,228,int32,,Source Measurement mantissa,"Describes the source effort used to generate the trace.  The measurement can be simple, qualitative measurements such as the total weight of explosive used or the peak air gun pressure or the number of vibrators times the sweep duration.  Although these simple measurements are acceptable, it is preferable to use true measurement units of energy or work. The constant is encoded as a four-byte, two's complement integer (bytes 225-228) which is the mantissa and a two-byte, two's complement integer (bytes 209-230) which is the power of ten exponent (i.e. Bytes 225-228 * 10**Bytes 229-230)",
smmte,229,230,int16,,Source Measurement exponent,,
smmtu,231,232,int16,,Source Measurement Unit,"The unit used for the Source Measurement, Trace header bytes 225-230","-1 = Other (should be described in Source Measurement Unit stanza, page 39),  0 = Unknown  1 = Joule (J) , 2 = Kilowatt (kW), 3 = Pascal (Pa),  4 = Bar (Bar),  4 = Bar-meter (Bar-m) , 5 = Newton (N) ,6 = Kilograms (kg)"
fbpicks,233,236,int32,,First Break Picks,,
scalfb,237,240,int32,,Scaling Factor for first breaks,,
